,user,createdAt,reportsResolved,nThanks,has_givenName,has_location,has_website,has_bio,has_bugcrowdHandle,has_githubHandle,has_gitlabHandle,has_linkedinHandle,has_twitterHandle,yearJoined,hasExternalLink,nhacks,ndisclosedhacks,country
977,977,2021-10-13T08:02:04.833Z,1,1,1,0,1,1,0,0,0,0,0,2021,1,1,0,
978,978,2018-11-04T06:10:20.997Z,1,2,0,0,0,0,0,0,0,0,0,2018,0,1,0,
979,979,2019-08-18T18:18:00.360Z,0,1,0,0,0,0,0,0,0,0,0,2019,0,1,0,
980,980,2017-06-25T08:32:25.685Z,1,2,1,0,0,0,0,0,0,0,0,2017,0,1,0,
981,981,2014-04-21T10:18:34.984Z,19,2,1,0,0,0,0,0,0,0,0,2014,0,19,6,
982,982,2016-07-19T12:54:19.020Z,1,2,0,0,0,0,0,0,0,0,0,2016,0,1,0,
983,983,2019-11-28T04:46:23.132Z,3,1,0,0,0,0,0,0,0,0,0,2019,0,3,0,
984,984,2020-07-01T15:27:22.170Z,1,1,1,0,0,0,0,0,0,0,0,2020,0,1,0,
985,985,2020-07-30T17:17:03.252Z,8,3,1,0,0,1,0,0,0,0,0,2020,0,3,1,
986,986,2019-02-14T14:08:05.650Z,3,2,1,0,0,0,0,0,0,0,0,2019,0,2,0,
987,987,2016-08-12T13:26:38.250Z,1,1,1,0,0,0,0,0,0,0,0,2016,0,1,0,
988,988,2016-04-02T02:47:05.811Z,2,1,1,1,0,0,0,0,0,0,0,2016,0,2,0,United States
989,989,2020-10-15T02:43:44.027Z,1,1,1,0,0,0,0,0,0,0,0,2020,0,1,0,
990,990,2017-09-17T11:21:36.015Z,1,2,1,1,0,0,0,0,0,0,0,2017,0,1,0,Algeria
991,991,2021-06-10T07:39:27.588Z,1,1,1,0,0,0,0,0,0,0,0,2021,0,1,0,
992,992,2015-01-27T14:17:44.680Z,9,2,0,0,0,0,0,0,0,0,0,2015,0,9,0,
993,993,2015-08-08T07:57:47.635Z,8,2,1,1,0,0,0,0,0,0,0,2015,0,2,0,Sweden
994,994,2020-06-16T16:56:32.409Z,3,6,1,1,1,1,0,0,0,0,0,2020,1,3,0,
995,995,2018-06-21T13:02:30.685Z,4,1,0,0,0,0,0,0,0,0,0,2018,0,2,0,
996,996,2016-08-20T09:35:45.439Z,68,3,1,1,0,1,0,0,0,0,0,2016,0,1,0,Laos
997,997,2019-06-25T10:41:50.175Z,1,1,1,0,0,0,0,0,0,0,0,2019,0,1,0,
998,998,2016-12-03T09:10:43.860Z,2,3,1,0,0,0,0,0,0,0,0,2016,0,3,1,
999,999,2019-07-19T03:18:50.194Z,2,1,1,0,0,0,0,0,0,0,0,2019,0,2,0,
1000,1000,2020-10-31T18:38:53.632Z,1,1,1,0,1,0,0,1,0,0,1,2020,1,1,0,
1001,1001,2019-08-05T09:11:34.418Z,1,1,1,0,0,0,0,0,0,0,0,2019,0,1,0,
1002,1002,2018-04-20T01:35:45.328Z,1,1,1,0,0,0,0,0,0,0,0,2018,0,1,0,
1003,1003,2019-09-24T13:59:31.590Z,59,2,1,0,0,0,0,0,0,0,0,2019,0,58,0,
1004,1004,2020-04-13T04:41:29.650Z,7,3,1,0,1,0,0,0,0,1,1,2020,1,67,0,
1005,1005,2021-09-16T16:33:56.720Z,2,1,1,1,1,1,0,0,0,0,1,2021,1,2,0,Singapore
1006,1006,2020-08-28T10:19:24.309Z,14,2,1,0,0,1,0,1,0,1,1,2020,1,1,0,
1007,1007,2017-10-21T21:38:50.621Z,30,5,1,1,1,1,0,0,0,0,0,2017,1,29,4,United States
1008,1008,2021-01-20T20:50:27.689Z,0,1,1,0,0,0,0,0,0,0,0,2021,0,1,0,
1009,1009,2018-04-01T07:52:50.558Z,1,1,1,0,0,0,0,0,0,0,0,2018,0,1,0,
1010,1010,2016-12-15T18:08:02.719Z,1,1,1,1,1,1,0,0,0,0,0,2016,1,1,0,Russia
1011,1011,2018-10-07T19:19:13.379Z,2,1,1,0,0,0,0,0,0,0,0,2018,0,2,0,
1012,1012,2017-01-10T07:41:03.326Z,1,3,1,0,0,1,0,1,0,0,1,2017,1,1,0,
1013,1013,2018-08-09T07:27:35.649Z,1,2,1,0,0,0,0,0,0,0,0,2018,0,1,0,
1014,1014,2014-04-21T08:25:08.372Z,55,10,1,1,0,1,0,0,0,0,0,2014,0,20,0,Philippines
1015,1015,2018-06-01T03:55:47.215Z,1,1,1,0,1,1,0,0,0,0,1,2018,1,1,0,
1016,1016,2021-07-19T09:07:03.637Z,11,2,1,0,0,0,0,0,0,0,1,2021,1,11,1,
1017,1017,2020-07-05T19:04:45.955Z,2,1,1,0,1,0,0,0,0,0,0,2020,1,2,0,
1018,1018,2014-03-11T05:43:50.355Z,2,2,1,0,0,0,0,0,0,0,0,2014,0,1,0,
1019,1019,2019-07-09T08:04:41.619Z,1,1,1,0,0,0,0,0,0,0,0,2019,0,1,0,
1020,1020,2015-11-11T13:00:33.259Z,1,1,1,0,0,0,0,0,0,0,0,2015,0,1,0,
1021,1021,2016-06-25T15:29:25.034Z,90,30,1,1,1,0,0,0,0,0,0,2016,1,44,14,United States
1022,1022,2019-12-19T08:18:24.395Z,1,2,1,0,0,0,0,0,0,0,0,2019,0,1,0,
1023,1023,2015-06-07T16:47:44.397Z,14,1,1,0,1,0,0,1,0,1,1,2015,1,14,0,
1024,1024,2019-04-09T10:11:20.595Z,2,1,1,0,0,0,0,0,0,0,0,2019,0,1,0,
1025,1025,2019-12-25T21:04:22.314Z,1,1,0,0,0,0,0,0,0,0,0,2019,0,1,0,
1026,1026,2017-09-01T17:09:48.088Z,1,1,1,0,0,0,0,0,0,0,0,2017,0,1,0,
1027,1027,2017-01-25T19:56:00.896Z,1,3,0,0,0,0,0,0,0,0,0,2017,0,1,0,
1028,1028,2016-05-23T06:58:34.945Z,3,1,0,0,0,0,0,0,0,0,0,2016,0,3,0,
1029,1029,2020-10-29T16:06:10.612Z,1,1,1,0,1,0,0,1,0,0,1,2020,1,1,0,
1030,1030,2015-07-29T00:06:48.514Z,220,14,1,1,1,0,1,0,0,0,0,2015,1,44,2,United Kingdom
